ODG ID;Asset_ID;Provider;Provider_ID;Content_Category;Genre 1;Genre 2;Série;Title;Original_Title;Season_Order;Order;Series_Asset_Id;Season_Asset_Id;Summary_Medium;Rating;Actors;Director;Country_of_Origin;Year;Language_movie;Language_preview;Audio_Type;Run_Time;Licensing_Window_Start;Licensing_Window_End;stb_group;stb_iptv;ctv;tvLg;pc;tablet;mobile;games;DTHVivo2;Chromecast;Download2Play;Commercial_Type;TVOD_Type;Pricing_Group;Path;Billing_ID
darrow_darrow;SONY2020061100000001;VU;Sony;Movies;Suspense;;;Darrow & Darrow Associados: Vestígios De Um Crime;Darrow Darrow: Body of evidence;;;;;Um jovem e honesto policial acredita que uma habitante local foi condenada por assassinato injustamente e pede ajuda à advogada de defesa Claire Darrow e ao promotor Miles Strasberg;10;Kimberly Williams-Paisley, Tom Cavanagh, Wendie Malick;Mel Damski;us;2018;en-US;pt-BR;Stereo;01:28:02;01/06/2020;31/07/2021;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TVOD;Launch;309;GVP/OBBrasil_GVP_HD;SONY01
haileydeanmysteries_prescription_murder;SONY2020061100000002;VU;Sony;Movies;Suspense;;;O Mistério De Hailey Dean: Prescrição Para Matar;Hailey Dean Mysteries: A Prescription for murder;;;;;A psicóloga e ex-procuradora Hailey Dean ajuda seu amigo detetive Garland Fincher a investigar uma série de assassinatos em ritmo acelerado no Atlanta Memorial Hospital quando a namorada de Fincher Dra. Meghan Phillips é declarada suspeita no primeiro assassinato.;12;Kellie Martin, Viv Leacock, Matthew MacCaull, Caitlin Stryker, Lauren Holly;Allan Harmon;us;2019;en-US;pt-BR;Stereo;01:23:59;01/06/2020;31/07/2021;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TVOD;Launch;309;GVP/OBBrasil_GVP_HD;SONY01
santa_jaws;SONY2020061100000003;VU;Sony;Movies;Terror;;;Santa Jaws - Tubarão Assassino;Santa Jaws;;;;;Tentando sobreviver ao Natal da família, Cody deseja estar sozinho, o que acaba saindo pela culatra quando o tubarão que criou em um gibi se manifesta e coloca toda a sua família em perigo.;12;Reid Miller, Ritchie Montgomery, Courtney Cummings, Carrie Lazar, Jim Klock, Hawn Tran, Haviland Stillwell, Miles Doleac, Arthur Marroquin, Scott Perry;Misty Talley;us;2018;en-US;pt-BR;Stereo;01:28:37;01/06/2020;31/07/2021;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TVOD;Launch;309;GVP/OBBrasil_GVP_HD;SONY01
batman_darkknight_part1xxx;WARN2020060110000001;VU;Warner Bros;Movies;Animation;;;BATMAN THE DARK KNIGHT RETURNS PT1;DCU Batman: O Cavaleiro das Trevas - P1;;;;;Baseado nos aclamados quadrinhos de Frank Miller, Batman volta para Gotham depois de anos de aposentadoria para lidar com os novos e mortais ataques das velhas forças vilãs.;12;Peter Weller, Ariel Winter, David Selby, Wade Williams;Jay Oliva;us;2012;en-US,pt-BR;pt-BR;Stereo;01:16:14;25/02/2014;31/12/2049;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TVOD;Catalogue;327;GVP/OBBrasil_GVP_HD;WBS05
burnt_orange_heresyx;SONY2020061100000004;VU;Sony;Movies;Drama;;;Tudo Pela Arte;The Burnt Orange Heresy;;;;;Um carismático crítico de arte e sua esposa são contratados para roubar um quadro raro de um grande colecionador de pinturas. No entanto, a ganância e a insegurança fazem a missão sair do controle.;14;Claes Bang, Elizabeth Debicki, Donald Sutherland, Rosalind Halstead;Giuseppe Capotondi;uk;2019;en-US,pt-BR;pt-BR;Stereo;01:38:00;10/06/2020;30/12/2020;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TVOD;Launch;309;GVP/OBBrasil_GVP_HD;SONY01
sniper_assassins_endx;SONY2020061100000005;VU;Sony;Movies;Action;;;O Atirador: O Fim De Um Assassino;Sniper: Assassin's End;;;;;O Atirador de Operações Especiais Brandon Beckett é o principal suspeito do assassinato de um dignitário estrangeiro que, no dia seguinte, assinaria um acordo comercial de alto nível com os Estados Unidos. Escapando por pouco da morte, Beckett percebe que pode haver um agente clandestino trabalhando dentro do governo e se alinha com a única pessoa em quem pode confiar, seu pai, o lendário atirador Sargento Thomas Beckett. Pai e filho estão sendo perseguidos pela CIA, por mercenários russos e por um assassino treinado pela Yakuza com habilidades de atirador e capaz de rivalizar com esses dois lendários atiradores.;16;Chad Collins, Sayaka Akimoto, Ryan Robbins, Lochlyn Munro, Emily Tennant, Michael Jonsson, Vincent Gale, Tom Berenger;Kaare Andrews;us;2020;en-US,pt-BR;pt-BR;Stereo;01:35:05;17/06/2020;30/09/2020;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TVOD;Launch;309;GVP/OBBrasil_GVP_HD;SONY01
5126963x;GSAT0005200512696300;VU;Canal Brasil;Movies;Drama;;;Hoje;Hoje;;;;;Vera recebe uma indenização por conta do desaparecimento do marido durante a ditadura. Com o dinheiro, ela compra um apartamento. Só que, quando está prestes a se mudar, recebe uma visita inesperada.;12;Denise Fraga, César Troncoso, João Baldasserini, Cláudia Assunção;Tata Amaral;br;2013;pt-BR;pt-BR;Stereo;01:25:00;01/04/2020;31/03/2023;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TVOD;Catalogue;327;Globosat/OBBrasil_Globosat_HD;GSH2B
5676600;GSAT2020051505676600;VU;Multishow;LocalPrograms;Comedy;;220 Volts;Búzios;Búzios;3;27;DZVV2016093000000001;DZVV2016093000000003;O episódio se passa todo na cidade de Búzios, homenageando a cidade balneária preferida do Brasil e fazendo paródia da mesma, como é o perfil do programa.;12;;André Pellenz;br;2012;pt-BR;;Stereo;00:25:32;04/05/2020;31/12/2023;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;CATCHUP;;;Globosat/OBBrasil_Globosat_HD;
5676601;GSAT2020051505676601;VU;Multishow;LocalPrograms;Comedy;;220 Volts;Restaurante;Restaurante;3;28;DZVV2016093000000001;DZVV2016093000000003;O programa se passa dentro de um restaurante, fazendo paródia das diversas situações que se pode viver dentro de restaurantes. Pontuadas, claro, pela personalidade de cada personagem do 220V.;12;;André Pellenz;br;2012;pt-BR;;Stereo;00:23:17;04/05/2020;31/12/2023;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;CATCHUP;;;Globosat/OBBrasil_Globosat_HD;
5676602;GSAT2020051505676602;VU;Multishow;LocalPrograms;Comedy;;220 Volts;Música;Música;3;29;DZVV2016093000000001;DZVV2016093000000003;O episódio traz o tema música em geral. Os personagens falam sobre seus estilos musicais, os contam e cantam suas músicas preferidas ou criticam determinada música ou estilo.;12;;André Pellenz;br;2012;pt-BR;;Stereo;00:22:00;04/05/2020;31/12/2023;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;CATCHUP;;;Globosat/OBBrasil_Globosat_HD;
