"Show Type","Provider","Codigo Categoria 1","Codigo Categoria 2","Business rule id","UserNibble2","Provider id","Título Original","Título em Português","Título em Português do Episódio","Temporada","Número do Episódio","Categoria","Ano","Bilheteria","Ranking","Língua Original","Estúdio","Classificação Etária","Genero 1","Genero 2","Elenco","Diretor","País de Origem","Sinopse EPG","Sinopse Resumo","Duração","Data Início","Data Fim","Formato","Audio","Legendado","Dublado ","Billing ID","Extradata 1","Extradata 2","Produto","Janela Repasse","Canal","Box Office","Versao","Cobrança","ID","Movie Size","Movie MD5","Poster Size","Poster MD5","DOWNLOAD TO GO","DIAS DE DOWNLOAD","PASTA FTP","Movie Audio Type","Trailer ID","Trailer Size","Trailer MD5","Duração Trailer","Trailer Audio Type"
"Movie","WARNER","MSEPGC_MV_Musical","MSEPGC_MV_Musical",0,2,"warner.com"," Blinded by the Light","A Música da Minha Vida",,,,"Filme",2019,5000000,9,"en","Warner Bros",12,"Drama","Comédia","Viveik Kalra, Hayley Atwell, Rob Brydon, Kulvinder Ghir, Nell Williams, Aaron Phagura","Gurinder Chadha","USA","Do escritor, diretor e produtor Gurinder Chadha, Driblando o Destino, temos o drama A Música da Minha Vida, baseado nas músicas e letras inspiradoras das canções atemporais de Bruce Springsteen.","Do escritor, diretor e produtor Gurinder Chadha, Driblando o Destino, temos o drama A Música da Minha Vida, baseado nas músicas e letras das canções atemporais de Bruce Springsteen.",01:57:45 AM,10/16/2021,12/31/2044,"HD","en","não","pt","WBH2L",,,"TVOD - Catálogo","L","Nirvana - Catálogo",500000,"Dublado",6.9,"blindedbythelight_dub_ptbr.ts",7063535812,"6C985805922D3E8A1994A5ED674B641B",80586,"D8D855B9FEE9D206223856E64C8DED01","não",0,"\rhome\nirvana\warner_20200114","Dolby 5.1","blindedbythelight_dub_ptbr_trailer.ts",144207844,"4DEC3B668C6DD1A5994E053587E4658B",12:02:24 AM,"Dolby 5.1"
"Movie","WARNER","MSEPGC_MV_Musical",,0,2,"warner.com"," Blinded by the Light","A Música da Minha Vida",,,,"Filme",2019,5000000,9,"en","Warner Bros",12,"Drama","Comédia","Viveik Kalra, Hayley Atwell, Rob Brydon, Kulvinder Ghir, Nell Williams, Aaron Phagura","Gurinder Chadha","USA","Do escritor, diretor e produtor Gurinder Chadha, Driblando o Destino, temos o drama A Música da Minha Vida, baseado nas músicas e letras inspiradoras das canções atemporais de Bruce Springsteen.","Do escritor, diretor e produtor Gurinder Chadha, Driblando o Destino, temos o drama A Música da Minha Vida, baseado nas músicas e letras das canções atemporais de Bruce Springsteen.",01:57:45 AM,01/15/2020,07/15/2020,"HD","en","pt","não","WBH1D",,,"TVOD - Lançamento","D","Nirvana - Lançamento",500000,"Legendado",14.9,"blindedbythelight_sub_ptbr_vod.ts",7063535812,"6C985805922D3E8A1994A5ED674B641B",80586,"D8D855B9FEE9D206223856E64C8DED01","não",0,"\rhome\nirvana\warner_20200114","Dolby 5.1","blindedbythelight_sub_ptbr_vod_trailer.ts",144207844,"4DEC3B668C6DD1A5994E053587E4658B",12:02:24 AM,"Dolby 5.1"
"Movie","WARNER","MSEPGC_MV_Musical",,0,2,"warner.com"," Blinded by the Light","A Música da Minha Vida",,,,"Filme",2019,5000000,9,"en","Warner Bros",12,"Drama","Comédia","Viveik Kalra, Hayley Atwell, Rob Brydon, Kulvinder Ghir, Nell Williams, Aaron Phagura","Gurinder Chadha","USA","Do escritor, diretor e produtor Gurinder Chadha, Driblando o Destino, temos o drama A Música da Minha Vida, baseado nas músicas e letras inspiradoras das canções atemporais de Bruce Springsteen.","Do escritor, diretor e produtor Gurinder Chadha, Driblando o Destino, temos o drama A Música da Minha Vida, baseado nas músicas e letras das canções atemporais de Bruce Springsteen.",01:57:45 AM,10/16/2021,12/31/2044,"HD","en,pt","pt","não","WBH2L",,,"TVOD - Catálogo","L","Nirvana - Catálogo",500000,"Multi-language",6.9,"blinded_by_the_light_dvb.ts",8034773892,"7B99485B581AD0997C1087DD7E422777",58850,"DFF154AF3F05D3419A25F85D14C4E7A4","não",0,"\rhome\nirvana\warner_20200114","Dolby 5.1","blinded_by_the_light_dvb_trailer.ts",144207844,"4DEC3B668C6DD1A5994E053587E4658B",12:02:24 AM,"Dolby 5.1"
"Movie","WARNER","MSEPGC_MV_ActAdv",,0,2,"warner.com","Godzilla: King Of The Monsters","Godzilla II: Rei dos Monstros",,,,"Filme",2019,5000000,9,"en","Warner Bros",12,"Fantasia","Aventura","Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Bradley Whitford, Sally Hawkins, Charles Dance, Thomas Middleditch, Aisha Hinds, O'Shea Jackson Jr., David Strathairn, Ken Watanabe, Ziyi Zhang ","Michael Dougherty","USA","A história acompanha os esforços heroicos da agência criptozoológica, Monarch, enquanto seus membros enfrentam diversos monstros colossais, incluindo o poderoso Godzilla, que cria um conflito com Mothra, Rodan, e seu arqui-inimigo supremo de três cabeças, o Rei Ghidorah. Quando esses seres antigos, que até então não passavam de lendas, ressurgem, todos começam a competir pela supremacia, deixando a própria existência da humanidade por um fio.","Quando antigos monstros colossais ressurgem, a agência criptozoológica, Monarch, enfrenta Godzilla, Mothra, Rodan e Rei Ghidorah, enquanto todos competem pela supremacia.",02:11:41 AM,07/04/2021,12/31/2049,"4k","en,pt","pt","não","WBH2L",,,"TVOD - Catálogo","L","Nirvana - Catálogo",500000,"Multi-language",6.9,"godzilla_king_otm_4k_dvb.ts",18370214892,"3827B0A0B9285E669C0CE6AE2B3A4C17",66385,"F687D2645EA31A37F1F2044E70BE73D3","não",0,"\rhome\nirvana\warner_20200115\godzilla_king_otm_4k_dvb","Dolby 5.1","godzilla_king_otm_4k_dvb_trailer.ts",144591928,"E0BD54C5614CDAA111855B563DAB7A9A",12:02:24 AM,"Dolby 5.1"
"Movie","WARNER","MSEPGC_MV_ActAdv",,0,2,"warner.com","Godzilla: King Of The Monsters","Godzilla II: Rei dos Monstros",,,,"Filme",2019,5000000,9,"en","Warner Bros",12,"Fantasia","Aventura","Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Bradley Whitford, Sally Hawkins, Charles Dance, Thomas Middleditch, Aisha Hinds, O'Shea Jackson Jr., David Strathairn, Ken Watanabe, Ziyi Zhang ","Michael Dougherty","USA","A história acompanha os esforços heroicos da agência criptozoológica, Monarch, enquanto seus membros enfrentam diversos monstros colossais, incluindo o poderoso Godzilla, que cria um conflito com Mothra, Rodan, e seu arqui-inimigo supremo de três cabeças, o Rei Ghidorah. Quando esses seres antigos, que até então não passavam de lendas, ressurgem, todos começam a competir pela supremacia, deixando a própria existência da humanidade por um fio.","Quando antigos monstros colossais ressurgem, a agência criptozoológica, Monarch, enfrenta Godzilla, Mothra, Rodan e Rei Ghidorah, enquanto todos competem pela supremacia.",02:11:41 AM,09/19/2019,03/19/2020,"4K","en,pt","pt","não","WBH1D",,,"TVOD - Lançamento","D","Nirvana - Lançamento",500000,"Multi-language",14.9,"godzilla_king_otm_4k_dvb_vod.ts",18370214892,"3827B0A0B9285E669C0CE6AE2B3A4C17",66385,"F687D2645EA31A37F1F2044E70BE73D3","não",0,"\rhome\nirvana\warner_20200115\godzilla_king_otm_4k_dvb_vod","Dolby 5.1","godzilla_king_otm_4k_dvb_vod_trailer.ts",144591928,"E0BD54C5614CDAA111855B563DAB7A9A",12:02:24 AM,"Dolby 5.1"
"Movie","WARNER","MSEPGC_MV_Drama ",,0,2,"warner.com","Joker","Coringa",,,,"Filme",2019,5000000,9,"en","Warner Bros",16,"Suspense","Drama","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais, Rocco Luna, Marc Maron, Sondra James, Murphy Guyer, Douglas Hodge"," Todd Phillips","USA","Coringa gira em torno desse icônico arqui-inimigo e é uma história independente e original nunca antes vista nas telonas. A forma como exploram Arthur Fleck, um homem ignorado pela sociedade, não é apenas um caso de estudo comportamental","Coringa gira em torno desse icônico arqui-inimigo e é uma história independente e original nunca antes vista nas telonas.",02:01:45 AM,01/07/2020,02/03/2020,"HD","en,pt","pt","não","WBH1N",,,"TVOD - Lançamento","N","Nirvana - Lançamento",500000,"Multi-language",18.9,"joker_dvb_evod.ts",8675610432,"F732768626E0831DD40DFF5C6F8B2DF9",81967,"3E0A0E080907713AEAD3E8365D93A7E5","não",0,"\rhome\nirvana\warner_20200117\joker_dvb_evod","Dolby 5.1","joker_dvb_evod_trailer.ts",144847796,"6E58D494BB9C175E254DB591B572E44B",12:02:24 AM,"Dolby 5.1"
"Movie","WARNER","MSEPGC_MV_ActAdv",,0,2,"warner.com","Shazam!","Shazam!",,,,"Filme",2019,5000000,9,"en","Warner Bros",12,"Ficção Científica","Aventura"," Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer, Adam Brody, Djimon Hounsou, Faithe Herman, Grace Fulton, Michelle Borth, Ian Chen, Ross Butler, Jovan Armand, D.J. Cotrona, Marta Milans, Cooper Andrews","David F. Sandberg","USA","Todos temos um super-herói dentro de nós, só é preciso de um pouco de magia para trazê-lo para fora. No caso de Billy Batson, basta gritar uma palavra SHAZAM! e esse esperto órfão de 14 anos se transforma no Super-Herói adulto chamado Shazam, tudo graças a um feiticeiro ancião. Mantendo um coração de criança dentro de um corpo sarado, como o de um deus Shazam se encanta com essa versão adulta de si mesmo, fazendo o que qualquer adolescente faria se tivesse superpoderes: divertindo-se à beça com eles! Será que ele pode voar? Será que ele tem visão de raio-X? Será que ele consegue disparar raios pelas mãos? Ou talvez pular a prova de estudos sociais? Shazam coloca suas habilidades à prova com a alegre imprudência de uma criança. Mas ele terá que dominar esses poderes logo para enfrentar as terríveis forças do mal controladas pelo Dr. Thaddeus Sivana.","Billy Batson é um esperto garoto de 14 anos que pode se transformar magicamente no super-herói Shazam. Seus poderes logo são colocados à prova contra o perverso Dr. Thaddeus Sivana.",02:11:41 AM,08/01/2019,02/01/2020,"4k","en,pt","pt","não","WBH1D",,,"TVOD - Lançamento","D","Nirvana - Lançamento",500000,"Multi-language",14.9,"shazam_4k_dvb_vod.ts",18370214892,"5364F30E12A1E5CEA9E20CE01F803422",53643,"DCD493F3F983C2D654E808D71E672FBD","não",0,"\rhome\nirvana\warner_20200115\shazam_4k_dvb_vod","Dolby 5.1","shazam_4k_dvb_vod_trailer.ts",145039932,"4BF2E131D90A38BDB5B78B1C6F7B41B3",12:02:24 AM,"Dolby 5.1"
"Movie","WARNER","MSEPGC_MV_ActAdv",,0,2,"warner.com","The Goldfinch","O Pintassilgo",,,,"Filme",2019,5000000,9,"en","Warner Bros",16,"Drama","Drama"," Ansel Elgort, Oakes Fegley, Aneurin Barnard, Finn Wolfhard, Ashleigh Cummings , Willa Fitzgerald, Aimee Laurence, Sarah Paulson, Luke Wilson, Jeffrey Wright, Nicole Kidman, Denis O'Hare, Boyd Gaines, Peter Jacobson, Luke Kleintank, Robert Joy","John Crowley","USA","Theodore Theo Decker tinha 13 anos quando sua mãe foi morta em um atentado ao Museu Metropolitano de Arte. Essa tragédia muda o rumo de sua vida, levando-o a uma emocionante odisseia de sofrimento e culpa, reinvenção e redenção, e até mesmo amor. Em meio a isso tudo, ele se apega a um pequeno resquício de esperança daquele dia terrível... a pintura de um passarinho acorrentado ao seu poleiro. O Pintassilgo.","Uma tragédia muda a vida de Theodore Decker após sua mãe morrer em um atentado ao Museu Metropolitano de Arte. Uma pintura é a esperança que restou. O Pintassilgo.",02:29:00 AM,11/14/2021,12/31/2049,"4K","en,pt","pt","não","WBH2L",,,"TVOD - Catálogo","L","Nirvana - Catálogo",500000,"Multi-language",6.9,"goldfinch_4k_dvb.ts",20171411120,"20448965166FFB1FDA3AF172A8F8573E",104656,"EC3BDA9B18667283439F8259D45432C1","não",0,"\rhome\nirvana\warner_4k_20200116","Dolby 5.1","goldfinch_4k_dvb_trailer.ts",140879868,"32056FE6B3A8E62AE5EE9519C177D469",12:02:20 AM,"Dolby 5.1"
"Movie","WARNER","MSEPGC_MV_ActAdv",,0,2,"warner.com","The Goldfinch","O Pintassilgo",,,,"Filme",2019,5000000,9,"en","Warner Bros",16,"Drama","Drama"," Ansel Elgort, Oakes Fegley, Aneurin Barnard, Finn Wolfhard, Ashleigh Cummings , Willa Fitzgerald, Aimee Laurence, Sarah Paulson, Luke Wilson, Jeffrey Wright, Nicole Kidman, Denis O'Hare, Boyd Gaines, Peter Jacobson, Luke Kleintank, Robert Joy","John Crowley","USA","Theodore Theo Decker tinha 13 anos quando sua mãe foi morta em um atentado ao Museu Metropolitano de Arte. Essa tragédia muda o rumo de sua vida, levando-o a uma emocionante odisseia de sofrimento e culpa, reinvenção e redenção, e até mesmo amor. Em meio a isso tudo, ele se apega a um pequeno resquício de esperança daquele dia terrível... a pintura de um passarinho acorrentado ao seu poleiro. O Pintassilgo.","Uma tragédia muda a vida de Theodore Decker após sua mãe morrer em um atentado ao Museu Metropolitano de Arte. Uma pintura é a esperança que restou. O Pintassilgo.",02:29:00 AM,01/02/2020,01/15/2020,"4K","en,pt","pt","não","WBH1N",,,"TVOD - Pré-lançamento","N","Nirvana - Lançamento",500000,"Multi-language",18.9,"goldfinch_4k_dvb_evod.ts",20171411120,"20448965166FFB1FDA3AF172A8F8573E",104324,"6127D7DABC32ACA464FD27EDF774568E","não",0,"\rhome\nirvana\warner_4k_20200116","Dolby 5.1","goldfinch_4k_dvb_evod_trailer.ts",140879868,"32056FE6B3A8E62AE5EE9519C177D469",12:02:20 AM,"Dolby 5.1"
"Movie","WARNER","MSEPGC_MV_ActAdv",,0,2,"warner.com","The Goldfinch","O Pintassilgo",,,,"Filme",2019,5000000,9,"en","Warner Bros",16,"Drama","Drama"," Ansel Elgort, Oakes Fegley, Aneurin Barnard, Finn Wolfhard, Ashleigh Cummings , Willa Fitzgerald, Aimee Laurence, Sarah Paulson, Luke Wilson, Jeffrey Wright, Nicole Kidman, Denis O'Hare, Boyd Gaines, Peter Jacobson, Luke Kleintank, Robert Joy","John Crowley","USA","Theodore Theo Decker tinha 13 anos quando sua mãe foi morta em um atentado ao Museu Metropolitano de Arte. Essa tragédia muda o rumo de sua vida, levando-o a uma emocionante odisseia de sofrimento e culpa, reinvenção e redenção, e até mesmo amor. Em meio a isso tudo, ele se apega a um pequeno resquício de esperança daquele dia terrível... a pintura de um passarinho acorrentado ao seu poleiro. O Pintassilgo.","Uma tragédia muda a vida de Theodore Decker após sua mãe morrer em um atentado ao Museu Metropolitano de Arte. Uma pintura é a esperança que restou. O Pintassilgo.",02:29:00 AM,01/16/2020,07/16/2020,"4K","en,pt","pt","não","WBH1D",,,"TVOD - Lançamento","D","Nirvana - Lançamento",500000,"Multi-language",14.9,"goldfinch_4k_dvb_vod.ts",20171411120,"20448965166FFB1FDA3AF172A8F8573E",104656,"EC3BDA9B18667283439F8259D45432C1","não",0,"\rhome\nirvana\warner_4k_20200116","Dolby 5.1","goldfinch_4k_dvb_vod_trailer.ts",140879868,"32056FE6B3A8E62AE5EE9519C177D469",12:02:20 AM,"Dolby 5.1"
